reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment_polarity,sentiment_subjective,wordCount,uppercaseCharCount,specialCharCount,sentiment_rating
0ebb1170-31cd-42af-a363-66d7e0dfa16e,Richie M,https://play-lh.googleusercontent.com/a-/ALV-UjXLWpVBIioVLI9O-zB5rFSXbE9ZIMhBpnlBWmcgBY_L9yIu4TSw,very limited insurance integration options,3,0,,2024-08-23 08:48:42,,,,-0.09285714285714286,0.18571428571428572,5,0,0,Neutral
39ca4d4f-5701-4f0e-a5dd-ca1f069ea679,Annaf Rehn,https://play-lh.googleusercontent.com/a-/ALV-UjX4z37ofJYEsehuwzsHH-rNCjSXCYvkU9lwR2HkpbBBaNlmmSk,so hard,1,0,12.2.5,2024-08-18 00:29:56,,,12.2.5,-0.2916666666666667,0.5416666666666666,2,0,0,Negative
f2710436-cb2e-4cf5-a2ad-38ee3d143498,agung anugrah,https://play-lh.googleusercontent.com/a-/ALV-UjX8H_y48sAilrM458ULJJ27pBAIYSQsB9Uk1n-9RNKBHHFmmNo,bagus,5,0,12.2.2,2024-05-26 08:38:47,,,12.2.2,0.0,0.0,1,0,0,Positive
7b9b70a5-0a33-47e3-8aee-f4930705b630,Ryandi W,https://play-lh.googleusercontent.com/a-/ALV-UjX7m2pIWkeEC1F2jGc7j9bn1NYPUrzESCxnRjvxuPpiRiwiqJse,saya nggak bisa login asuransi saya di app ini,1,0,12.2.1,2024-03-14 02:53:19,"Dear Kak Ryandi, mohon maaf atas kendala yang dialami. Mohon dipastikan No Polis yang dimasukkan benar dan mendapat benefit Telekonsultasi YesDok. Team kami akan membantu kakak melalui WA Center Help@yesdok.net. Mohon ditunggu ya",2024-03-18 08:21:11,12.2.1,0.0,0.0,9,0,0,Negative
04e64c25-d538-40c5-b8d0-beea25f51408,Albert Wibowo,https://play-lh.googleusercontent.com/a-/ALV-UjVdGxfiw3Ltq0zdMBqf77yBkwYSOSZgfsuLDjslNv5B4BPYWn8O3w,"hati2 dokter2 disini..konsultasi krn positif covid, bilang mau ksh obat antivirus movflor malahan tdk dikasih apa2,bahkan vitamin pun tdk diresepkan...tdk ada resep dokternya",1,0,12.1.4,2024-01-27 14:33:52,"Dear Kak Albert Satryo Wibowo, Mohon maaf atas kendala yang dialami. Setelah kami cek di sistem dokter sudah meresepkan 4 macam obat yang bisa ditebus melalui Go Apotik. Mohon bisa di cek di histori konsultasi ya kak. Semoga jawaban ini membantu, terimakasih dan mohon bisa update rating yang diberikan.",2024-03-18 08:32:07,12.1.4,0.0,0.0,23,0,7,Negative
21140386-da2a-4569-91bf-d5bb5a076838,Sri Purwanti,https://play-lh.googleusercontent.com/a-/ALV-UjV2TbQT937e-OBRXBGPoxeya-n1tY1eePkEOhBo5AQJd-0WPc2pZQ,friendly user,5,0,11.2.6,2023-10-14 03:09:15,,,11.2.6,0.375,0.5,2,0,0,Positive
e81b4e7d-f9ad-44ea-8a0f-dd00fecac330,Hardianto Wibowo,https://play-lh.googleusercontent.com/a-/ALV-UjV1p1t1z24T3Z_Sidl-zm_lBINvPGAYUIYV4FUanwsKPSxBZ4y_,ok,5,0,11.1.6,2023-04-16 10:18:05,,,11.1.6,0.5,0.5,1,0,0,Positive
e884b7d2-9f33-464f-ae9b-3a2d23231bf1,ardiyanto ardiyanto,https://play-lh.googleusercontent.com/a/ACg8ocLmF7A0BF9dFAmYjbdzw-V3V4R7vOMcOl3-0_bXs56oicC42Q=mo,"really bad apps, the apps force us to allow so many unnecessary access from device👎",1,0,,2023-04-15 14:57:37,,,,-0.19999999999999996,0.6888888888888888,15,0,1,Negative
69f04684-2320-4108-b7bb-59b71a7bb52e,Dimo Nur Nahdlo J,https://play-lh.googleusercontent.com/a-/ALV-UjXtk14s1Vt7FkdwB5R6JTqm3iIWt-_KfCEMiFbg7h64NkUMPxct,ok 👍,5,0,11.1.3,2023-01-22 00:36:25,,,11.1.3,0.5,0.5,2,0,0,Positive
08c30457-29f9-4c83-a440-4278f1f7945d,Eron L Radja,https://play-lh.googleusercontent.com/a-/ALV-UjU6fR34SC740kyJ-n0N22E8skNAi6BBRkq_al8X9CN_yJDQHwFB,mudah digunakan aplikasinya,5,0,11.1.0,2022-11-23 09:52:36,,,11.1.0,0.0,0.0,3,0,0,Positive
061dce04-700e-4293-9974-ac3115dfd076,Helen Suwardi,https://play-lh.googleusercontent.com/a/ACg8ocJ8dazb3s4RDN69g2I1o6PYHJaaztkqIBKFn2Wde1_IGXUPhw=mo,"bagus banget konsul dokter telemedicine lwt video call, lbh cepat & terpercaya",5,0,11.1.0,2022-11-23 07:53:20,,,11.1.0,0.0,0.0,12,0,2,Positive
0e65bfa2-489e-48a5-be40-0886407e85c0,Susana Juwono,https://play-lh.googleusercontent.com/a-/ALV-UjUvHbPIcX4Mw5VZqfqKAtsfGWRet8m_0-GBiwsVErCdBN-O7aH6tg,"jelas, dokter ramah",5,0,11.1.0,2022-11-15 13:28:34,,,11.1.0,0.0,0.0,3,0,1,Positive
